name;diameter;count;price;type_size;category
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;15;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;15;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;15;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;15;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;20;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;20;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;20;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;20;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;25;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;25;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;25;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;25;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;32;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;32;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;32;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;32;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;40;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;40;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;40;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;40;25;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
Фланцы приварные плоские ст. 09г2с ГОСТ 33259-2015 или (ГОСТ 12820-01) точеные, полная мех. обработка;50;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
